ts	iter	branch	commit	status	claim_by	claimed_via	note
1789714181	iter-t2-disasm-truthy-r12	task/t2-disasm-truthy-r12	233fd52	internal-verified	1789714781	internal:ACCEPT	
1789714181	iter-t3-reach-r6	task/t3-reach-r6	5aa1f6b	superseded	1789714781		r33 自足式复核 REJECT：index_unavailable 出口缺成本；由 r7 接替
1789720493	iter-t3-reach-r8	task/t3-reach-r8	959d0a3	landed	1789721093	internal:ACCEPT	校验和不通过：测试回归红 | 校验和落地（代码 lane）
1789720510	iter-t3-reach-r7	task/t3-reach-r7	182370b	superseded	1789721110		r34 自足式复核 REJECT：漏计不可读读盘 + 模块级状态串味；由 r8 接替
1789721646	iter-027-batch-c11	task/iter-027-batch-c11	c6b430d	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-100-batch-c100	task/iter-100-batch-c100	85c1a4b	superseded			基线陈旧与 main 冲突 → 已重放为 iter-100-batch-c100-dual@ab01ee4（重审 verdict=REJECT，inter=[]）
1789721646	iter-104-batch-c104-fix-d1	task/iter-104-batch-c104-fix-d1	7c9b579	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-115-batch-c115-fix-d1	task/iter-115-batch-c115-fix-d1	1bbc744	superseded			基线陈旧与 main 冲突 → 已重放为 iter-115-batch-c115-fix-d1-dual@723c767（重审 verdict=ACCEPT，inter=[]）
1789721646	iter-131-batch-c131-fix-d1	task/iter-131-batch-c131-fix-d1	75d78d5	stale			重放到当前 main 后无实际新增条件（已落实或被后继批次覆盖）→ 不待裁定
1789721646	iter-136-batch-c136-dual-dual	task/iter-136-batch-c136-dual-dual	f27fa65	stale			重放到当前 main 后无实际新增条件（已落实或被后继批次覆盖）→ 不待裁定
1789721646	iter-142-batch-c142-fix-d1-d2	task/iter-142-batch-c142-fix-d1-d2	20298ae	superseded			基线陈旧与 main 冲突 → 已重放为 iter-142-batch-c142-fix-d1-d2-dual@26205af（重审 verdict=ACCEPT，inter=[]）
1789721646	iter-144-batch-c144-fix	task/iter-144-batch-c144-fix	1109c70	stale			重放到当前 main 后无实际新增条件（已落实或被后继批次覆盖）→ 不待裁定
1789721646	iter-145-batch-c145-fix-d1	task/iter-145-batch-c145-fix-d1	d67cbb6	superseded			基线陈旧与 main 冲突 → 已重放为 iter-145-batch-c145-fix-d1-dual@99294aa（重审 verdict=REJECT，inter=[]）
1789721646	iter-166-batch-c166	task/iter-166-batch-c166	61879df	stale			重放到当前 main 后无实际新增条件（已落实或被后继批次覆盖）→ 不待裁定
1789721646	iter-167-batch-c167-fix	task/iter-167-batch-c167-fix	02cf208	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-168-batch-c168-fix	task/iter-168-batch-c168-fix	a5adc11	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-172-batch-c172-fix-d1	task/iter-172-batch-c172-fix-d1	8e5df63	superseded			基线陈旧与 main 冲突 → 已重放为 iter-172-batch-c172-fix-d1-dual@4d15d9f（重审 verdict=ACCEPT，inter=[]）
1789721646	iter-205-batch-c205	task/iter-205-batch-c205	00130c1	superseded			基线陈旧与 main 冲突 → 已重放为 iter-205-batch-c205-dual@b5551fd（重审 verdict=REJECT，inter=[]）
1789721646	iter-209-batch-c209	task/iter-209-batch-c209	dad2188	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-210-batch-c210-fix	task/iter-210-batch-c210-fix	c6a4399	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-211-batch-c211	task/iter-211-batch-c211	7340d7f	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-212-batch-c212	task/iter-212-batch-c212	e465f69	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-213-batch-c213	task/iter-213-batch-c213	4c073cb	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-214-batch-c214	task/iter-214-batch-c214	3778555	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-215-batch-c215-fix	task/iter-215-batch-c215-fix	4006f2c	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-216-batch-c216-fix-d1	task/iter-216-batch-c216-fix-d1	09459b8	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-217-batch-c217	task/iter-217-batch-c217	d82b378	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-218-batch-c218	task/iter-218-batch-c218	83bb758	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-219-batch-c219-fix	task/iter-219-batch-c219-fix	3e94176	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-220-batch-c220	task/iter-220-batch-c220	21f6069	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-221-batch-c221-fix	task/iter-221-batch-c221-fix	8f17776	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-222-batch-c222-fix	task/iter-222-batch-c222-fix	6a9c21b	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-223-batch-c223	task/iter-223-batch-c223	7a6c75a	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-224-batch-c224	task/iter-224-batch-c224	e602409	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-225-batch-c225-fix	task/iter-225-batch-c225-fix	ffab717	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-226-batch-c226-fix	task/iter-226-batch-c226-fix	0971e64	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-227-batch-c227	task/iter-227-batch-c227	b7f4bc2	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-228-batch-c228	task/iter-228-batch-c228	2fdb43e	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
1789721646	iter-230-batch-c230	task/iter-230-batch-c230	28adf94	landed		internal:ACCEPT	环二 backlog：内部复核 ACCEPT，待编外裁定 ｜ 校验和落地（ACCEPT ∧ inter=[] ∧ 零删除 ∧ 测试绿）@ 85e478a
